#TYPE Selected.Microsoft.Open.AzureAD.Model.Group
"MailEnabled","DisplayName","Mail","SecurityEnabled"
"True","bonair","bonair@ofiz.pl","False"
"True","Quiz.Committee","Quizcommitee@vistra.com","False"
"True","Social Committee","SocialCommittee@vistra.com","False"
"True","Financial Reporting & Budgets","FinancialReportingBudgets@vistra.com","False"
"True","ML-SG-AvenuesInvestmentHoldings","Avenuesihpl.sg@vistra.com","False"
"True","EFO","EFO@vistra.com","False"
"True","Compass Publishing B.V. (The Netherlands)","ISGNBV.nl@vistra.com","False"
"True","Email - India Ujwal - Xactly Payroll","xactlypayroll.ind@vistra.com","False"
"True","ML-SG-Hopu-GE","hopu.ge.sg@vistra.com","False"
"True","*Email - VME ? Authorisation","authorisation.me@vistra.com","False"
"True","Email - Mauritius - AIM DMT Team","email.muaimdmtteam@vistra.com","False"
"True","Email - Mauritius - GDRMU-ML-Investor Services","investorservices.mu@vistra.com","False"
"True","Team L-ITBP training","TeamL-ITBPtraining@ofiz.onmicrosoft.com","False"
"True","email - Frankfurt - CA1-Vistra Frankfurt","ca1.fra.de@vistra.com","False"
"True","abc","abc@vistra.com","False"
"True","Eastman Music Company B.V.","Eastman.nl@vistra.com","False"
"True","UO Team","UOTeam@vistra.com","False"
"True","SP&T","1@vistra.com","False"
"True","File Count","FileCount@vistra.com","False"
"True","Debt Funds Working Group","DebtFundsWorkingGroup@vistra.com","False"
"True","NA 2 Accounting","NA2Accounting@vistra.com","False"
"True","Bristol - BVIBOSS","Bristol-BVIBOSS@vistra.com","False"
"True","Email - DocusignHelpdeskSupport","docusignhelpdesksupport@vistra.com","False"
"True","Email - China Trust BD","Email-ChinaTrustBD@vistra.com","False"
"True","HR team Amsterdam","HRteamAmsterdam@vistra.com","False"
"True","Email ? Vistra Malta Payments","MLTPayments@vistra.com","False"
"True","Payroll KMD VCSCEE","payroll.kmd@vistra.com","False"
"True","Email-IMT-Jersey@vistra.com","Email-IMT-Jersey@vistra.com","False"
"True","World Shariah PCC - Transition","WorldShariahPCC-Transition@vistra.com","False"
"True","Email - Frankfurt - LC1-Vistra Frankfurt","LC1.FRA.de@vistra.com","False"
"True","accountingwroclaw.vcscee","accountingwroclaw.cee@vistra.com","False"
"True","Patching and Vulnerability management","PatchingandVulnerabilitymanagement@vistra.com","False"
"True","Email - IT - GFI UK Monthly Patching","email-IT-gfimonthlypatching@vistra.com","False"
"True","RP OKRs","RPOKRs@vistra.com","False"
"True","GSY COVID 19 BC Team","GSYCOVID19BCP@vistra.com","False"
"True","Email - Bristol - Finance","Finance.bristol@vistra.com","False"
"True","ML-SG-FundtierOps","FundtierOps.sg@vistra.com","False"
"True","*Email - Luxembourg - Caesar Finance 1999 SA","caesar.fin1999.lux@vistra.com","False"
"True","SSC & HR","SSCHR@vistra.com","False"
"True","TestP1.C2","TestP1.C2@vistra.com","False"
"True","BUSINESS ROTATION","BUSINESSROTATION@vistra.com","False"
"True","Group AZY VCSCEE","groupazy.cee@vistra.com","False"
"True","Matt Test","MattTest@vistra.com","False"
"True","GDPR","GDPR@vistra.com","False"
"True","*E-mail - Netherlands - Hephaestus IV Co?peratief U.A.","Hephaestus.nl@vistra.com","False"
"True","legacy book","legacybook@vistra.com","False"
"True","ML-SG- Minterest","Minterest.sg@vistra.com","False"
"True","Email - London - B Signatories","LondonBsignatories@vistra.com","False"
"True","recruitment.vcscee","recruitment.vcscee@vistra.com","False"
"True","NL Monthly Deep Dive","NLMonthlyDeepDive@vistra.com","False"
"True","montsant@vistra.com","montsant@vistra.com","False"
"True","BPEA Global Account Team","BPEAGlobalAccountTeam@vistra.com","False"
"True","*Email - Luxembourg -  Ekistics Payments","EkisticsPayments@vistra.com","False"
"True","*Email - Luxembourg - BPEA-PEVII","BPEA-PEVII.lux@vistra.com","False"
"True","Email - Hong Kong SalesForce Users","Email-HongKongSalesForceUsers@vistra.com","False"
"True","*Email - Luxembourg - BCDH group","BCDH.lux@vistra.com","False"
"True","cairn","cairn@vistra.com","False"
"True","Group MGG VCSCEE","groupmgg.cee@vistra.com","False"
"True","*Email - Amsterdam - Encore","encore.nl@vistra.com","False"
"True","Breach Register","BreachRegister@vistra.com","False"
"True","Commercial SIP Project","CommercialSIPProject@vistra.com","False"
"True","Email - Frankfurt - L2-Vistra Frankfurt","L2.FRA.de@vistra.com","False"
"True","*Email - Luxembourg NA PE/RE 1","NA.PERE1.lux@vistra.com","False"
"True","Team Anthony - Vistra","TeamAnthony-Vistra@vistra.com","False"
"True","*Email - Luxembourg - FATCA Registration","fatcaregistration.lux@vistra.com","False"
"True","Test","Test150@vistra.com","False"
"True","UK Region Talent Acquisition","UKRegionTalentAcquisition@vistra.com","False"
"True","Team.Ashab.nl","team.ashab.nl@vistra.com","False"
"True","Email - Hong Kong Credit Control","Email-HongKongOILCreditControl@oilglobal.com","False"
"True","Email - PE Team 1 SG","PETeam1.sg@vistra.com","False"
"True","Email - Jersey Viewpoint User Group","JSYJVUG@vistra.com","False"
"True","Changes","Changes@vistra.com","False"
"True","Email - India Ujwal - Megachips","megachipspayroll.ind@vistra.com","False"
"True","Savills UKIG","SavillsUKIG@vistra.com","False"
"True","2019 VP True Up - Taiwan","2019VPTrueUp-Taiwan@vistra.com","False"
"True","Piping Rock","PipingRock@vistra.com","False"
"True","Email - GLBL Solarwinds Alerts","GlobalSolarwinds@vistra.com","False"
"True","ES Filing for BVI Shelf Companies","BVIESFilingorShelfcos@vistra.com","False"
"True","TestEmbee","TestEmbee@vistra.com","False"
"True","*Email - Singapore IS&P","is&p@vistra.com","False"
"True","MS","MS@vistra.com","False"
"True","Email - India Ujwal - Aruba Payroll","arubapayroll.ind@vistra.com","False"
"True","BristolNoMike","BristolNoMike@vistra.com","False"
"True","Email - India Ujwal - Collective Payroll","collectivepayroll.ind@vistra.com","False"
"True","Investran Training","InvestranTraining361@vistra.com","False"
"True","Girls power","Girlspower@vistra.com","False"
"True","Bristol Finance Team","BristolFinanceTeam@vistra.com","False"
"True","ML-SG-Lioncrestglobalinvestments","Lioncrestglobalinvestments.sg@vistra.com","False"
"True","Comercial Spain","ComercialSpain@vistra.com","False"
"True","Bristol - 1StrategySetting","Bristol-1StrategySetting@vistra.com","False"
"True","Team Hassett","TeamHassett@vistra.com","False"
"True","TEAM_2016db8f460245c8ac15498ef5e4faca","TEAM_2016db8f460245c8ac15498ef5e4faca@vistra.com","False"
"True","Email - Guernsey AAC","aac.gg@vistra.com","False"
"True","Email - Hong Kong Division AIS","AllStaffVistraHongKongAIS@vistra.com","False"
"True","*Email - Netherlands - Air Miles","AirMiles.nl@vistra.com","False"
"True","PE2","PE2@vistra.com","False"
"True","Email - India Ujwal - Minio India","minio.india@vistra.com","False"
"True","Beciaki","Beciaki@vistra.com","False"
"True","MS Team Test","MSTeamTest@vistra.com","False"
"True","*Email - Luxembourg - Real Estate I Team","EmailLuxembourgTeamRealEstateI@vistra.com","False"
"True","Bristol - isleaderhipteam","Bristol-isleaderhipteam@vistra.com","False"
"True","cayman.p3.vcscee","cayman.p3.cee@vistra.com","False"
"True","Email - Malaysia Cosec","email-malaysiacosec@vistra.com","False"
"True","accountingmpz.vcscee","accountingmpz.cee@vistra.com","False"
"True","Email - Reading - HOD","email-reading-hod@vistra.com","False"
"True","Email - Canyon - Yodel Admin","yodeladmin@canyoncts.com","False"
"True","*Email - External Notify","Email-ExternalNotify@vistra.com","False"
"True","BIdept2","BIdept2@vistra.com","False"
"True","Team Barry & Kareem","TeamBarryKareem@vistra.com","False"
"True","Projects team - internal","Projectsteam-internal@vistra.com","False"
"True","*Email - Board Pack Distribution List","boardpackdistlist@vistra.com","False"
"True","*Email - Amsterdam - REPEIII","REPEIII.nl-ams@vistra.com","False"
"True","*Email - Zurich Backup Admins","Email_ZurichBackupAdmins@vistra.com","False"
"True","Email - Frankfurt - Desktopmetal","Desktopmetal.de@vistra.com","False"
"True","mcssofia.vcscee","mcssofia.cee@vistra.com","False"
"True","zzEmail - Domain Admins","it.domainadmins@vistra.com","False"
"True","investors.nbp","investors.nbp@vistra.com","False"
"True","Vistra Information Management","VistraInformationManagement@vistra.com","False"
"True","LMS","LMS@vistra.com","False"
"True","groupanb.vcscee","groupanb.cee@vistra.com","False"
"True","WORK","WORK@vistra.com","False"
"True","*Email - Singapore Finance","email-singaporefinance@vistra.com","False"
"True","Leadership","Leadership@vistra.com","False"
"True","????","msteams_81f7d4@vistra.com","False"
"True","HR Reading","HRReading@vistra.com","False"
"True","Customer Lifecycle Management Platform","CustomerLifecycleManagementPlatform@vistra.com","False"
"True","*Email - Vistra HFM Users","Email-OVHFMUsers@oilglobal.com","False"
"True","Email - Amsterdam Prolacta.nl","Prolacta.nl@vistra.com","False"
"True","VOP Phase 1 Quickwins","VOPPhase1Quickwins@vistra.com","False"
"True","Email - India Ujwal - CQC finance","cqcfinance.ind@vistra.com","False"
"True","Email ? PE2 Payments SG","Payments2.sg@vistra.com","False"
"True","Intrabit Project","IntrabitProject@vistra.com","False"
"True","MCS Legal Assistant","MCSLegalAssistant@vistra.com","False"
"True","Brexit.TaskForce","Brexit.TaskForce@vistra.com","False"
"True","ML-AU-Vistra INS Wcomp","vistrainswcomp@vistra.com","False"
"True","ML-SG-TIAA","tiaa.sg@vistra.com","False"
"True","BCP Reading","BCPReading@vistra.com","False"
"True","Spain - test of aplication","Spain-testofaplication@vistra.com","False"
"True","Debbie & Graz - VGML - Mauritius & Inv Processing","DebbieGraz-VGML-MauritiusInvProcessing@vistra.com","False"
"True","KAM","KAM@vistra.com","False"
"True","zz Email - Bomgar Shannon Foxnet Approval","SHNFoxnetbomgar@vistra.com","False"
"True","Vistra (Mauritius) Corporate","VistraMauritiusCorporate@vistra.com","False"
"True","Email - Bristol - FinanceException","Email-Bristol-FinanceException@vistra.com","False"
"True","Teamleads.ky","teamleads.ky@vistra.com","False"
"True","Legal Services Team (Martin)","LegalServicesTeamMartin@vistra.com","False"
"True","HR Team - UK, IR, CI & ME","HRTeam-UKIRCI@vistra.com","False"
"True","Email - AtriumNL","AtriumNL@vistra.com","False"
"True","ML-AU-IESManagers","iesmanagers.au@vistra.com","False"
"True","KC - Management","KC-Management@vistra.com","False"
"True","pocztowy.am","pocztowy.am@vistra.com","False"
"True","*Email - Luxembourg - Pradera AIFM","pradera.aifm.lux@vistra.com","False"
"True","Rhino","Rhino@vistra.com","False"
"True","Mimecast Backup","MimecastBackup@vistra.com","False"
"True","*Email - Luxembourg - Operational Staff","operationalstaff.lux@vistra.com","False"
"True","One Vistra ERP Programme Team","OneVistraERP@vistra.com","False"
"True","DAC6","DAC6191@vistra.com","False"
"True","Group AZB","groupazb.cee@vistra.com","False"
"True","*Email - Amsterdam - Industry Capital","IndustryCapital.nl@vistra.com","False"
"True","Email - Bristol - Informed","Informed@vistra.com","False"
"True","mmprime.fiz.ta","mmprime.fiz.ta@vistra.com","False"
"True","centralus@vistra.com","centralus@vistra.com","False"
"True","Copy of Department - Location - Position (folder wzorcowy","CopyofDepartment-Location-Positionfolderwzorcowy207@vistra.com","False"
"True","marketing.vcscee","marketing.cee@vistra.com","False"
"True","email - Amsterdam Helios.nl","Helios.nl@vistra.com","False"
"True","bps.fiz","bps.fiz@vistra.com","False"
"True","*Email - Salesforce Users","teamsalesforce@vistra.com","False"
"True","Email - Luxembourg - FATCA-CRS","fatca-crs.lux@vistra.com","False"
"True","Email - Hong Kong CF GM's","Email-HongKongOILGMs@vistra.com","False"
"True","VForce","VFORCE@vistra.com","False"
"True","TM Team","TMTeam@vistra.com","False"
"True","*Email - Amsterdam FATCA/CRS Services NL","FATCAprojectAmsterdam@vistra.com","False"
"True","Vistra Payroll","VistraPayroll@vistra.com","False"
"True","Status Update Report - April 2020","StatusUpdateReport-April2020@vistra.com","False"
"True","*Email - All Staff Vistra CF Singapore ORP","email-allstaffvistracfsingaporeorp@vistra.com","False"
"True","Email - Bristol - BIDept","BIDept.bristol@vistra.com","False"
"True","Vistra 2020","Vistra20208420@vistra.com","False"
"True","Bahamas Review Project","BahamasReviewProject@vistra.com","False"
"True","origin.fiz.pay","origin.fiz.pay@vistra.com","False"
"True","Email - All Verona Mauritius CoC 2 Staff","email.allveronamaustaff@vistra.com","False"
"True","BD Netherlands","BDNetherlands@vistra.com","False"
"True","Bristol - changes","Bristol-changes@vistra.com","False"
"True","ML-SG-Zana (Hedge)","Zanahedgefund.sg@vistra.com","False"
"True","Vistra-BLR_Test","vistra-blr_test@vistra.com","False"
"True","*Email - Luxembourg - 20 gresham","20gresham.lux@vistra.com","False"
"True","GHRSSC","GHRSSC@vistra.com","False"
"True","GCA Admin Team","GCAAdminTeam@vistra.com","False"
"True","*Email - All Staff TAKA","Email_-_all_staff_taka@vistra.com","False"
"True","VCL marketing collateral","VCLmarketingcollateral@vistra.com","False"
"True","DAC6 Level 1 Review - Bank account signatory clients","DAC6Level1Review-Bankaccountsignatoryclients@vistra.com","False"
"True","2019 VP True Up - Frankfurt","2019VPTrueUp-Frankfurt@vistra.com","False"
"True","hrs.payroll@vistra.com","hrs.payroll@vistra.com","False"
"True","Email - India Ujwal - Statishealth Payroll","statishealth.ind@vistra.com","False"
"True","groupdwa.vcscee","groupdwa.cee@vistra.com","False"
"True","Front Office Operations","FrontOfficeOperations@vistra.com","False"
"True","groupita.vcscee","groupita.cee@vistra.com","False"
"True","HR London","HR_London@vistra.com","False"
"True","Email - Verona - Un-Structured Data Leads","verona.unstructured@vistra.com","False"
"True","Accounting EPP VCSCEE","accountingepp.cee@vistra.com","False"
"True","New starter","Newstarter@vistra.com","False"
"True","*Email ? VBC Vistra Fund Services Limited","Email-VBCVistraFundServicesLimited@vistra.com","False"
"True","All Hungary CEE VCS","allhungary.cee@vistra.com","False"
"True","*Email - Group HR Team","hr_team@vistra.com","False"
"True","ML-SG-LasalleAsiaOppIV","LasalleAsiaOppIV.sg@vistra.com","False"
"True","Global Director Handbook / Director Training","GlobalDirectorHandbookDirectorTraining@ofiz.onmicrosoft.com","False"
"True","Nata","Nata@vistra.com","False"
"True","Vistra Capital Markets Trustees Ltd","VistraCapitalMarketsTrusteesLtd@vistra.com","False"
"True","Upgrade 7.3.10.50","Upgrade731050@vistra.com","False"
"True","turbine.fiz","turbine.fiz@ofiz.pl","False"
"True","Group MCI VCSCEE","groupmci.cee@vistra.com","False"
"True","*Email - Technology Leadership Team","techleadershipteam@vistra.com","False"
"True","*Email - Luxembourg - Catalyst accounts","Catalyst.accounts.lux@vistra.com","False"
"True","*Email - Netherlands - atnahs","atnahs.nl@vistra.com","False"
"True","Edgeconnex","edgeconnex@vistra.com","False"
"True","Test","Test863@vistra.com","False"
"True","Shannon Training","ShannonTraining@vistra.com","False"
"True","Vistra UK Managers","email-vistraukmanagers@vistra.com","False"
"True","My personal team","Mypersonalteam@vistra.com","False"
"True","Email - Global - Mimecast DLP Email Alerts","MimecastDLPAlerts@vistra.com","False"
"True","*Email - Luxembourg Accounting Team","Luxembourg.Accounting.Team@vistra.com","False"
"True","Email - China Pricing Committee","Email-China-Pricing-Committee@vistra.com","False"
"True","Email - Group Internal Compliance Audit","internal.compliance.audit@vistra.com","False"
"True","Client Accounting Bristol","ClientAccountingBristol@vistra.com","False"
"True","bnp.fiz","bnp.fiz@vistra.com","False"
"True","PERE Europe 2","PEREEurope2@vistra.com","False"
"True","eques.fio","eques.fio@vistra.com","False"
"True","*Email - Netherlands - Gazprom Sakhalin Holdings","Gazprom.nl@vistra.com","False"
"True","Me, myself, and Vistra","MemyselfandVistra@vistra.com","False"
"True","Email - Bristol - UKInvoiceConsolidation","UKInvoiceConsolidation.bristol@vistra.com","False"
"True","Email - Amsterdam Inchcape","inchcape@vistra.com","False"
"True","PE Commercial Team","PECommercialTeam@vistra.com","False"
"True","*Email - Luxembourg - Data Input","datainput.lux@vistra.com","False"
"True","Accounting Warszawa Specjalist","AccountingWarszawaSpecjalist@vistra.com","False"
"True","*Email - Luxembourg - AIFM Team","aifm.team.lux@vistra.com","False"
"True","*Email - Luxembourg - ZE.Wald","ZE.Wald.lux@vistra.com","False"
"True","*Email - Netherlands - Egeria","egeria.nl@vistra.com","False"
"True","Radius integration - comms workstream","Radiusintegration-commsworkstream@vistra.com","False"
"True","PraxisIFM Outsourcing","PraxisIFMOutsourcing@vistra.com","False"
"True","Email - London - VGC London Accounting","VGCLdnAccounting@vistra.com","False"
"True","ML-SG-ADM Singapore","admsingapore.sg@vistra.com","False"
"True","Email - Hong Kong Group Financial Planning and Analysis","Vistra.Group.FP&A@vistra.com","False"
"True","*Email - Vistra Middle East - ManTeam","ManTeam.me@vistra.com","False"
"True","Email - HR Community","HRCommunity@vistra.com","False"
"True","*Email - All Staff Vistra Munich","allstaffmunich@vistra.com","False"
"True","HR London matters","HRLondonmatters@vistra.com","False"
"True","Email - Ariston","Ariston@vistra.com","False"
"True","ML-SG-UBSJapanMultiFamily","UBSJapanMultiFamily.SG@vistra.com","False"
"True","HTCG Video Conference","HTCGVideoConference@vistra.com","False"
"True","VPOMiddleEastDesk","VPOMiddleEastDesk@vistra.com","False"
"True","zzEmail - Datacenter Alerts - Zurich","dcalertszrh@vistra.com","False"
"True","Email - Bristol - CompanyInformation","CompanyInformation@vistra.com","False"
"True","Dom - Tax 1 Personal","Tax1Personal@vistra.com","False"
"True","Copy of Department - Location - Position (folder wzorcowy","CopyofDepartment-Location-Positionfolderwzorcowy121@vistra.com","False"
"True","Group RWO","grouprwo.cee@vistra.com","False"
"True","raiffeisen.fio.confirmation","raiffeisen.fio.confirmation@vistra.com","False"
"True","Salesforce Training","SalesforceTraining@vistra.com","False"
"True","BVIEmailAlertsandRouting","BVIEmailAlertsandRoutingGroup@vistra.com","False"
"True","Email - India Ujwal - Intacct Payroll","intacctpayroll.ind@vistra.com","False"
"True","CPC Accounts team","CPCAccountsteam@vistra.com","False"
"True","ML-AU-Carbon","carbon.au@vistra.com","False"
"True","Dessay","Dessay@vistra.com","False"
"True","ML-SG-Lunexventures","Lunexventures.sg@vistra.com","False"
"True","Email - Inter Pipeline Jersey Limited","InterPipelineJerseyLimited@vistra.com","False"
"True","*Email - Netherlands - IHS","Emailnetherlandsihs@vistra.com","False"
"True","Email - Fwd - Jersey - Reception forward","Fwd_Jersey_Reception@vistra.com","False"
"True","PIP Vistra London Team","PIPvistralondonteam@vistra.com","False"
"True","Bristol - Development","Bristol-Development@vistra.com","False"
"True","IES-Global Services","IES-GlobalServices@vistra.com","False"
"True","Tech Cost Optimisation","TechCostOptimisation@vistra.com","False"
"True","EU Copper Task Force - Management Accounts","EUCopperTaskForce-ManagementAccounts@vistra.com","False"
"True","jersey@vistra.com","jersey@vistra.com","False"
"True","*Email - Amerius Limited","ameriusltd@vistra.com","False"
"True","Payroll APO VCSCEE","payrollapo.cee@vistra.com","False"
"True","Sector Marketing","SectorMarketing@vistra.com","False"
"True","Borrelcommissie","Borrelcommissie@vistra.com","False"
"True","Mauritius New Laptops Setup","MauritiusNewLaptopsSetup@vistra.com","False"
"True","ML-SG-BPEA-FUND-VI","Bpea.fund6.sg@vistra.com","False"
"True","Email - Mauritius - DR Bloomberg","mauritius.drbloomberg@vistra.com","False"
"True","VFSGL Compliance","VFSGLCompliance@vistra.com","False"
"True","Sirius-Antares-Canopus","Sirius-Antares-Canopus@vistra.com","False"
"True","Project Panda [Repository]","ProjectPandaRepository@vistra.com","False"
"True","Case Study 1","CaseStudy1@vistra.com","False"
"True","Tristan'y","Tristany@ofiz.onmicrosoft.com","False"
"True","Email - Hong Kong Social Committee","Email-HongKongSocialCommittee@vistra.com","False"
"True","Email - Bristol - Syslog","Bristol.Syslog@vistra.com","False"
"True","Dubai - Laptop & Workstation Imaging","Dubai-LaptopWorkstationImaging@vistra.com","False"
"True","*Email - Singapore Trust BD","Email-SingaporeTrustBD@vistra.com","False"
"True","Bristol - vistrajordansofficerelocationproject","Bristol-vistrajordansofficerelocationproject@vistra.com","False"
"True","SolarWinds","MonitoringSolution@vistra.com","False"
"True","Email - Mauritius TMG","tmg.mu@vistra.com","False"
"True","*Email - Frankfurt Bregal","bregal_de@vistra.com","False"
"True","India_SSC_ERT","India_SSC_ERT@vistra.com","False"
"True","Email-Cologne-BackofficeCologne","BackofficeCologne@vistra.com","False"
"True","SCG","SCG130@vistra.com","False"
"True","Reading IT","ReadingIT@vistra.com","False"
"True","*Email - Luxembourg - Kinstellar","Kinstellar.lux@vistra.com","False"
"True","ML-SG-TrueGlobal","trueglobal.sg@vistra.com","False"
"True","Email - Amsterdam AFH.nl","AFH.nl@vistra.com","False"
"True","Email - London - FoxFactoryUK","foxfactoryuk@vistra.com","False"
"True","*Email - All Staff LLS","emailallstafflls@vistra.com","False"
"True","Bristol - Citibank","Bristol-Citibank@vistra.com","False"
"True","*Email - Netherlands - ChinGer Investments","ChinGer.nl@vistra.com","False"
"True","zz Email - Forwarding rule for Rachida Nouhi","emailforwarding@vistra.com","False"
"True","Legal Services & Reg Change Action Logs","LegalServicesRegChangeActionLogs@vistra.com","False"
"True","Real Estate","RealEstate@vistra.com","False"
"True","Email - Vistra Hong Kong - North Asia","VistraHongKongNorthAsia@vistra.com","False"
"True","singapore.funds.vfsp","singapore.funds.vfsp@vistra.com","False"
"True","zzEmail - Snow IT Alerts","Snow.ITalerts@vistra.com","False"
"True","Compliance Germany","ComplianceGermany@vistra.com","False"
"True","rockbridge.fiz","rockbridge.fiz@vistra.com","False"
"True","Email - Guernsey Office Services","office.services.gg@vistra.com","False"
"True","Email - India Ujwal ? AL","AL@vistra.com","False"
"True","Management fiz VFS","management.fiz@vistra.com","False"
"True","Salesforce Administration","Salesforce@vistra.com","False"
"True","Gp_invoices@vistra.com","gp_invoices@vistra.com","False"
"True","DT Risk Profiles","DTRiskProfiles@vistra.com","False"
"True","HR PHR Community","HR_PHR_Community@vistra.com","False"
"True","Personal files","Personalfiles@vistra.com","False"
"True","APAC Project Update","APACProjectUpdate@vistra.com","False"
"True","*Email - Amsterdam - Jacana","Jacana.nl@vistra.com","False"
"True","*Email - Amsterdam Secretarial (Schiphol)","Email_AmsterdamSecretarial_Schiphol@vistra.com","False"
"True","*Email - Luxembourg Blue Skye","Bskye.luxembourg@vistra.com","False"
"True","Email - Scube Investment Management SPC","scube@vistra.com","False"
"True","Backup Solution","BackupSolution@vistra.com","False"
"True","Email - IAM - Jersey Banking","emailiamjerbank@vistra.com","False"
