"name";"ipv4address";"description";"operatingSystem";"distinguishedName"
"PLWAHV03";"10.10.1.131";"Cluster Node #3";"Windows Server 2012 R2 Datacenter";"CN=PLWAHV03,OU=CEE_DATA_CENTER,DC=trinitycs,DC=com"
"PLWAHV01";"10.10.1.111";"Cluster Node #1";"Windows Server 2012 R2 Datacenter";"CN=PLWAHV01,OU=CEE_DATA_CENTER,DC=trinitycs,DC=com"
"PLWAHV02";"10.10.1.121";"Cluster Node #2";"Windows Server 2012 R2 Datacenter";"CN=PLWAHV02,OU=CEE_DATA_CENTER,DC=trinitycs,DC=com"
"PLWAHV10";"10.10.1.201";"Logical Cluster";"Windows Server 2012 R2 Datacenter";"CN=PLWAHV10,OU=CEE_DATA_CENTER,DC=trinitycs,DC=com"
"TEMPKMU";"10.10.25.66";;"Windows Server 2012 R2 Datacenter";"CN=TEMPKMU,CN=Computers,DC=trinitycs,DC=com"
"WAWSRVHR012";"10.14.1.29";"ENOVA365 Server #2 (Business Server) - TEST";"Windows Server 2012 R2 Datacenter";"CN=WAWSRVHR012,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"WAWSRVHR011";"10.14.1.28";"ENOVA365 Server #1 (IIS Server) - TEST";"Windows Server 2012 R2 Datacenter";"CN=WAWSRVHR011,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAHR01";"10.14.1.21";"ENOVA365 Server #1 (IIS Server)";"Windows Server 2012 R2 Datacenter";"CN=PLWAHR01,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAHR02";"10.14.1.22";"ENOVA365 Server #2 (Business Server)";"Windows Server 2012 R2 Datacenter";"CN=PLWAHR02,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAHR03";"10.14.1.23";"SONETA DEVELOPERS - Enova365 IIS Server";"Windows Server 2012 R2 Datacenter";"CN=PLWAHR03,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWAHR04";"10.14.1.24";"SONETA DEVELOPERS - Enova365 Business Server";"Windows Server 2012 R2 Datacenter";"CN=PLWAHR04,OU=VM,OU=DC,OU=VCS,OU=SERVERS,OU=CEE_HOSTS,DC=trinitycs,DC=com"
"PLWATM02";"10.10.1.42";;"Windows Server 2012 R2 Datacenter";"CN=PLWATM02,CN=Computers,DC=trinitycs,DC=com"
