"name";"ipv4address";"operatingsystem";"distinguishedName";"OU"
"AMSSRVCTX04";"10.30.10.83";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX04,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX011";"10.30.10.78";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX011,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX012";"10.30.10.91";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX012,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX013";"10.30.10.92";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX013,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSSRVCTX014";"10.30.10.93";"Windows Server 2008 R2 Standard";"CN=AMSSRVCTX014,OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Terminal Servers,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK499";"10.40.20.24";"Windows 7 Professional";"CN=AMSWRK499,OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK500";"10.40.20.123";"Windows 7 Professional";"CN=AMSWRK500,OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK080";"10.40.20.117";"Windows 7 Professional";"CN=AMSWRK080,OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK190";"10.40.20.18";"Windows 7 Professional";"CN=AMSWRK190,OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK028";"10.40.20.202";"Windows 7 Professional";"CN=AMSWRK028,OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK498";"10.40.20.118";"Windows 7 Professional";"CN=AMSWRK498,OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK019";"10.40.20.78";"Windows 7 Professional";"CN=AMSWRK019,OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Hexaware BOTs,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK147";;"Windows 7 Professional";"CN=AMSWRK147,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK107";"10.40.20.4";"Windows 7 Professional";"CN=AMSWRK107,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK153";"10.40.21.54";"Windows 7 Professional";"CN=AMSWRK153,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK169";"10.40.22.37";"Windows 7 Professional";"CN=AMSWRK169,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK124";"10.40.21.28";"Windows 7 Professional";"CN=AMSWRK124,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK185";"10.40.20.100";"Windows 7 Professional";"CN=AMSWRK185,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK183";"10.40.20.25";"Windows 7 Professional";"CN=AMSWRK183,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK174";"10.40.20.7";"Windows 7 Professional";"CN=AMSWRK174,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK136";"10.40.23.7";"Windows 7 Professional";"CN=AMSWRK136,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK189";"10.40.22.86";"Windows 7 Professional";"CN=AMSWRK189,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK197";"10.40.23.27";"Windows 7 Professional";"CN=AMSWRK197,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK150";"10.40.20.82";"Windows 7 Professional";"CN=AMSWRK150,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK182";"10.40.22.73";"Windows 7 Professional";"CN=AMSWRK182,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK178";;"Windows 7 Professional";"CN=AMSWRK178,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK196";;"Windows 7 Professional";"CN=AMSWRK196,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK101";"10.40.20.111";"Windows 7 Professional";"CN=AMSWRK101,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK117";"10.40.22.71";"Windows 7 Professional";"CN=AMSWRK117,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK199";"10.40.20.200";"Windows 7 Professional";"CN=AMSWRK199,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK179";"10.40.22.30";"Windows 7 Professional";"CN=AMSWRK179,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK191";"10.40.20.52";"Windows 7 Professional";"CN=AMSWRK191,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK106";"10.40.22.72";"Windows 7 Professional";"CN=AMSWRK106,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK113";;"Windows 7 Professional";"CN=AMSWRK113,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK155";;"Windows 7 Professional";"CN=AMSWRK155,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK151";;"Windows 7 Professional";"CN=AMSWRK151,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK127";"10.40.23.29";"Windows 7 Professional";"CN=AMSWRK127,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK146";;"Windows 7 Professional";"CN=AMSWRK146,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK158";;"Windows 7 Professional";"CN=AMSWRK158,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK115";"10.40.21.22";"Windows 7 Professional";"CN=AMSWRK115,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK120";"10.40.20.5";"Windows 7 Professional";"CN=AMSWRK120,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK161";"10.40.22.46";"Windows 7 Professional";"CN=AMSWRK161,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK181";"10.40.23.21";"Windows 7 Professional";"CN=AMSWRK181,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK167";"10.40.20.48";"Windows 7 Professional";"CN=AMSWRK167,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK133";"10.40.20.79";"Windows 7 Professional";"CN=AMSWRK133,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK129";"10.40.22.37";"Windows 7 Professional";"CN=AMSWRK129,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK163";"10.40.21.48";"Windows 7 Professional";"CN=AMSWRK163,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK165";"10.40.22.96";"Windows 7 Professional";"CN=AMSWRK165,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK143";;"Windows 7 Professional";"CN=AMSWRK143,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK159";"10.40.20.105";"Windows 7 Professional";"CN=AMSWRK159,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK141";"10.40.22.40";"Windows 7 Professional";"CN=AMSWRK141,OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 1,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK216";;"Windows 7 Professional";"CN=AMSWRK216,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK215";;"Windows 7 Professional";"CN=AMSWRK215,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK218";"10.40.20.205";"Windows 7 Professional";"CN=AMSWRK218,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK260";"10.40.21.20";"Windows 7 Professional";"CN=AMSWRK260,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK278";"10.40.21.4";"Windows 7 Professional";"CN=AMSWRK278,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK276";"10.40.20.41";"Windows 7 Professional";"CN=AMSWRK276,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK270";"10.40.21.26";"Windows 7 Professional";"CN=AMSWRK270,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK272";"10.40.20.37";"Windows 7 Professional";"CN=AMSWRK272,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK271";"10.40.20.13";"Windows 7 Professional";"CN=AMSWRK271,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK265";"10.40.20.35";"Windows 7 Professional";"CN=AMSWRK265,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK248";"10.40.20.26";"Windows 7 Professional";"CN=AMSWRK248,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK257";"10.40.20.43";"Windows 7 Professional";"CN=AMSWRK257,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK253";"10.40.20.11";"Windows 7 Professional";"CN=AMSWRK253,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK249";"10.40.23.36";"Windows 7 Professional";"CN=AMSWRK249,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK293";"10.40.22.27";"Windows 7 Professional";"CN=AMSWRK293,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK262";"10.40.22.98";"Windows 7 Professional";"CN=AMSWRK262,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK273";"10.40.23.16";"Windows 7 Professional";"CN=AMSWRK273,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK251";;"Windows 7 Professional";"CN=AMSWRK251,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK250";"10.40.20.58";"Windows 7 Professional";"CN=AMSWRK250,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK268";"10.40.22.33";"Windows 7 Professional";"CN=AMSWRK268,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK255";"10.40.21.39";"Windows 7 Professional";"CN=AMSWRK255,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK247";"10.40.23.47";"Windows 7 Professional";"CN=AMSWRK247,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK204";"10.40.21.46";"Windows 7 Professional";"CN=AMSWRK204,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK209";"10.40.21.55";"Windows 7 Professional";"CN=AMSWRK209,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK207";"10.40.20.98";"Windows 7 Professional";"CN=AMSWRK207,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK201";"10.40.20.54";"Windows 7 Professional";"CN=AMSWRK201,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK214";"10.40.22.57";"Windows 7 Professional";"CN=AMSWRK214,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK252";"10.40.23.16";"Windows 7 Professional";"CN=AMSWRK252,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK286";"10.40.23.38";"Windows 7 Professional";"CN=AMSWRK286,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK287";"10.40.23.12";"Windows 7 Professional";"CN=AMSWRK287,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK266";"10.40.21.203";"Windows 7 Professional";"CN=AMSWRK266,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK206";"10.40.22.100";"Windows 7 Professional";"CN=AMSWRK206,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK299";"10.40.23.32";"Windows 7 Professional";"CN=AMSWRK299,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK223";"10.40.22.81";"Windows 7 Professional";"CN=AMSWRK223,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK228";"10.40.21.21";"Windows 7 Professional";"CN=AMSWRK228,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK279";"10.40.22.103";"Windows 7 Professional";"CN=AMSWRK279,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK222";"10.40.21.78";"Windows 7 Professional";"CN=AMSWRK222,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK211";"10.40.21.41";"Windows 7 Professional";"CN=AMSWRK211,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK225";"10.40.22.31";"Windows 7 Professional";"CN=AMSWRK225,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK281";"10.40.20.20";"Windows 7 Professional";"CN=AMSWRK281,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK259";"10.40.22.16";"Windows 7 Professional";"CN=AMSWRK259,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK275";"10.40.21.10";"Windows 7 Professional";"CN=AMSWRK275,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK241";"10.40.20.34";"Windows 7 Professional";"CN=AMSWRK241,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK282";"10.40.20.5";"Windows 7 Professional";"CN=AMSWRK282,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
"AMSWRK267";"10.40.21.60";"Windows 7 Professional";"CN=AMSWRK267,OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local";"OU=Live 2,OU=Workstations,OU=Amsterdam,OU=Vistra,DC=work,DC=local"
